city,salary_low,salary_high
上海,15.929292929292929,27.404040404040405
北京,17.683760683760685,31.094017094017094
南京,9.666666666666666,17.666666666666668
厦门,11.0,18.0
呼和浩特,4.0,8.0
大连,8.333333333333334,13.0
天津,8.0,16.0
广州,12.37037037037037,22.25925925925926
成都,10.619047619047619,17.38095238095238
昆明,6.0,12.0
杭州,14.515151515151516,24.272727272727273
武汉,9.384615384615385,15.846153846153847
济南,9.0,16.333333333333332
深圳,14.0,25.08108108108108
珠海,10.5,19.0
石家庄,6.0,9.0
绵阳,7.0,9.0
苏州,17.0,21.5
西安,11.083333333333334,19.333333333333332
贵阳,6.0,12.0
郑州,7.75,11.5
重庆,5.0,8.0
长沙,6.5,10.5
青岛,9.333333333333334,16.666666666666668
